PointNo,PointID,East,North,Elevation,Code,Date,CLASS
33554467,target 379,58.138350,33.019084,102.356691,,29-08-2023/12:08:58.,MEAS
33554470,target 309,57.416649,36.549089,102.136548,1_FG,29-08-2023/12:09:48.,MEAS
33554473,target 303,56.205270,36.994909,102.527470,1_FG,29-08-2023/12:10:30.,MEAS
33554477,target 297,62.286813,33.034016,102.359787,1_FG,29-08-2023/13:10:15.,MEAS
33554486,target 415,59.571321,34.394464,101.999036,1_FG,04-09-2023/07:57:55.,MEAS
33554489,target 409,59.483438,33.891558,102.013900,1_FG,04-09-2023/07:58:18.,MEAS
33554492,target 403,59.980419,33.852119,102.035783,1_FG,04-09-2023/07:58:41.,MEAS
33554502,target 396,59.323696,34.301657,101.847274,1_FG,04-09-2023/10:19:20.,MEAS
33554505,target 204,58.800927,34.737134,101.890920,1_FG,04-09-2023/10:19:46.,MEAS
33554508,target 390,59.324149,34.841389,101.844630,1_FG,04-09-2023/10:20:10.,MEAS
33554513,target 351,60.699826,35.226304,102.218757,1_FG,04-09-2023/12:35:13.,MEAS
33554517,target 414,55.922257,36.543628,102.064836,1_FG,04-09-2023/12:37:38.,MEAS
33554520,target 438,56.164798,36.680808,102.071428,1_FG,04-09-2023/12:37:57.,MEAS
33554523,target 439,56.389850,36.431127,102.054552,1_FG,04-09-2023/12:38:23.,MEAS
33554526,target 408,56.389298,36.433389,102.053185,1_FG,04-09-2023/12:38:37.,MEAS
33554529,target 432,56.466959,36.086843,102.053437,1_FG,04-09-2023/12:40:22.,MEAS
