"PointNo,PointID,East,North,Elevation,Code,Date,CLASS
33554443,1,62.287201,33.032238,102.360273,1_FG,25-08-2023/14:26:46.0,MEAS
33554446,297,62.287064,33.032903,102.360697,1_FG,25-08-2023/14:27:07.0,MEAS
33554451,T_0,57.993174,35.752616,102.514313,,29-08-2023/11:06:59.0,MEAS
33554455,391,57.993174,35.752616,102.514313,1_FG,29-08-2023/11:06:59.0,MEAS
33554459,373,58.491150,34.630929,101.893707,1_FG,29-08-2023/11:07:51.0,MEAS
33554462,385,58.972903,36.102535,102.028356,1_FG,29-08-2023/11:09:15.0,MEAS
33554467,TARGET_379,58.138350,33.019084,102.356691,,29-08-2023/12:08:58.0,MEAS
33554470,TARGET_309,57.416649,36.549089,102.136548,1_FG,29-08-2023/12:09:48.0,MEAS
33554473,TARGET_303,56.205270,36.994909,102.527470,1_FG,29-08-2023/12:10:30.0,MEAS
33554477,TARGET_297,62.286813,33.034016,102.359787,1_FG,29-08-2023/13:10:15.0,MEAS
33554486,TARGET_415,59.571321,34.394464,101.999036,1_FG,04-09-2023/07:57:55.0,MEAS
33554489,TARGET_409,59.483438,33.891558,102.013900,1_FG,04-09-2023/07:58:18.0,MEAS
33554492,TARGET_403,59.980419,33.852119,102.035783,1_FG,04-09-2023/07:58:41.0,MEAS
33554502,TARGET_396,59.323696,34.301657,101.847274,1_FG,04-09-2023/10:19:20.0,MEAS
33554505,TARGET_204,58.800927,34.737134,101.890920,1_FG,04-09-2023/10:19:46.0,MEAS
33554508,TARGET_390,59.324149,34.841389,101.844630,1_FG,04-09-2023/10:20:10.0,MEAS
33554513,TARGET_351,60.699826,35.226304,102.218757,1_FG,04-09-2023/12:35:13.0,MEAS
33554517,TARGET_414,55.922257,36.543628,102.064836,1_FG,04-09-2023/12:37:38.0,MEAS
33554520,TARGET_438,56.164798,36.680808,102.071428,1_FG,04-09-2023/12:37:57.0,MEAS
33554523,TARGET_439,56.389850,36.431127,102.054552,1_FG,04-09-2023/12:38:23.0,MEAS
33554526,TARGET_408,56.389298,36.433389,102.053185,1_FG,04-09-2023/12:38:37.0,MEAS
33554529,TARGET_432,56.466959,36.086843,102.053437,1_FG,04-09-2023/12:40:22.0,MEAS
33554480,T_10,23.840000,54.633000,104.868000,,04-09-2023/07:57:07.0,FIX
33554496,T_0,29.858000,25.021000,103.944000,,04-09-2023/10:18:41.0,FIX
33554436,STATION_3,61.722096,35.829185,104.092707,,25-08-2023/14:26:06.0,FIX
33554449,STATION_3,61.700789,35.763017,104.090612,,29-08-2023/11:06:58.0,FIX
33554479,STATION_1,57.056836,33.688943,104.076496,,04-09-2023/07:57:07.0,FIX
33554495,STATION_2,57.058011,33.687671,104.076434,,04-09-2023/10:18:40.0,FIX
"
"33554443,1,62.287201,33.032238,102.360273,1_FG,25-08-2023/14:26:46.0,MEAS
"
"33554446,297,62.287064,33.032903,102.360697,1_FG,25-08-2023/14:27:07.0,MEAS
"
"33554451,T_0,57.993174,35.752616,102.514313,,29-08-2023/11:06:59.0,MEAS
"
"33554455,391,57.993174,35.752616,102.514313,1_FG,29-08-2023/11:06:59.0,MEAS
"
"33554459,373,58.491150,34.630929,101.893707,1_FG,29-08-2023/11:07:51.0,MEAS
"
"33554462,385,58.972903,36.102535,102.028356,1_FG,29-08-2023/11:09:15.0,MEAS
"
"33554467,TARGET_379,58.138350,33.019084,102.356691,,29-08-2023/12:08:58.0,MEAS
"
"33554470,TARGET_309,57.416649,36.549089,102.136548,1_FG,29-08-2023/12:09:48.0,MEAS
"
"33554473,TARGET_303,56.205270,36.994909,102.527470,1_FG,29-08-2023/12:10:30.0,MEAS
"
"33554477,TARGET_297,62.286813,33.034016,102.359787,1_FG,29-08-2023/13:10:15.0,MEAS
"
"33554486,TARGET_415,59.571321,34.394464,101.999036,1_FG,04-09-2023/07:57:55.0,MEAS
"
"33554489,TARGET_409,59.483438,33.891558,102.013900,1_FG,04-09-2023/07:58:18.0,MEAS
"
"33554492,TARGET_403,59.980419,33.852119,102.035783,1_FG,04-09-2023/07:58:41.0,MEAS
"
"33554502,TARGET_396,59.323696,34.301657,101.847274,1_FG,04-09-2023/10:19:20.0,MEAS
"
"33554505,TARGET_204,58.800927,34.737134,101.890920,1_FG,04-09-2023/10:19:46.0,MEAS
"
"33554508,TARGET_390,59.324149,34.841389,101.844630,1_FG,04-09-2023/10:20:10.0,MEAS
"
"33554513,TARGET_351,60.699826,35.226304,102.218757,1_FG,04-09-2023/12:35:13.0,MEAS
"
"33554517,TARGET_414,55.922257,36.543628,102.064836,1_FG,04-09-2023/12:37:38.0,MEAS
"
"33554520,TARGET_438,56.164798,36.680808,102.071428,1_FG,04-09-2023/12:37:57.0,MEAS
"
"33554523,TARGET_439,56.389850,36.431127,102.054552,1_FG,04-09-2023/12:38:23.0,MEAS
"
"33554526,TARGET_408,56.389298,36.433389,102.053185,1_FG,04-09-2023/12:38:37.0,MEAS
"
"33554529,TARGET_432,56.466959,36.086843,102.053437,1_FG,04-09-2023/12:40:22.0,MEAS
"
"33554480,T_10,23.840000,54.633000,104.868000,,04-09-2023/07:57:07.0,FIX
"
"33554496,T_0,29.858000,25.021000,103.944000,,04-09-2023/10:18:41.0,FIX
"
"33554436,STATION_3,61.722096,35.829185,104.092707,,25-08-2023/14:26:06.0,FIX
"
"33554449,STATION_3,61.700789,35.763017,104.090612,,29-08-2023/11:06:58.0,FIX
"
"33554479,STATION_1,57.056836,33.688943,104.076496,,04-09-2023/07:57:07.0,FIX
"
"33554495,STATION_2,57.058011,33.687671,104.076434,,04-09-2023/10:18:40.0,FIX
"
